LAB_ID,AUPPB_NA,LATITUDE,LONGITUDE
C106192,4.3,44.88556,-113.17027
C106193,10.0,44.88556,-113.17027
C106194,130.0,44.88556,-113.17027
C106195,1.3,44.88556,-113.17027
C106196,6.57,44.88556,-113.17027
C106197,21.9,44.88556,-113.17027
C106198,485.0,44.88556,-113.17027
C106199,49.9,44.88556,-113.17027
C106200,5590.0,44.88556,-113.17027
C107914,2.21,44.42778,-112.92805
C107915,0.85,44.42778,-112.92805
C107918,0.56,44.42778,-112.92805
C108661,182.0,44.88222,-113.15584
C108662,0.58,44.88222,-113.15584
C110937,40.1,35.51389,-80.00528
C110938,0.88,35.28888,-80.03528
C111616,2.0,35.63333,-83.71666
C111617,5.72,35.63333,-83.71666
C111618,3.8,35.63333,-83.71666
C111619,10.8,35.63333,-83.71666
C111620,0.61,35.63333,-83.71666
C111622,0.53,35.46666,-83.76667
C111623,0.79,35.46666,-83.76667
C111624,1.0,35.46666,-83.76667
C111627,1.6,35.46666,-83.76667
C111628,1.0,35.61666,-83.41666
C111629,0.21,35.45805,-83.4836
C111630,0.093,35.45805,-83.4836
C111631,0.35,35.45,-83.48333
C111632,1.1,35.45,-83.48333
C111633,0.45,35.45,-83.48333
C111634,1.4,35.45,-83.48333
C111637,623.0,34.64167,-80.41388
C111638,188.0,34.64167,-80.41388
C111639,42.1,34.64167,-80.41388
C111640,3.15,34.64167,-80.41388
C111641,6.42,34.62749,-80.39694
C111642,24.4,34.63027,-80.39694
C111643,11.5,34.63027,-80.39694
C111644,26.6,34.79416,-80.39694
C111645,985.0,34.63027,-80.39694
C111646,105.0,34.63027,-80.39694
C111647,186.0,34.63027,-80.39694
C111648,5380.0,34.63027,-80.39694
C111649,235.0,34.63027,-80.39694
C111650,73.3,34.63027,-80.39694
C111651,1470.0,34.63027,-80.39694
C111652,187.0,34.63027,-80.39694
C111653,800.0,34.63027,-80.39694
C111654,259.0,34.63027,-80.39694
C111655,36.5,34.63027,-80.39694
C111656,23.7,34.63027,-80.39694
C111657,1540.0,34.63027,-80.39694
C111658,811.0,34.63027,-80.39694
C111659,249.0,34.63027,-80.39694
C111660,113.0,34.63027,-80.39694
C111661,192.0,34.63027,-80.39694
C111662,2610.0,34.63027,-80.39694
C111663,8550.0,34.63027,-80.39694
C111664,1150.0,34.63027,-80.39694
C111665,80.5,34.63027,-80.39694
C111666,277.0,34.63027,-80.39694
C111667,74.2,34.63027,-80.39694
C111668,27.9,34.63027,-80.39694
C111669,622.0,34.63027,-80.39694
C111670,190.0,34.63027,-80.39694
C111671,75.5,34.63027,-80.39694
C111672,4040.0,34.63027,-80.39694
C111673,42.9,34.63027,-80.39694
C111674,33.5,34.63027,-80.39694
C111675,573.0,34.63027,-80.39694
C111676,665.0,34.63027,-80.39694
C111677,434.0,34.64167,-80.41388
C111678,226.0,34.64167,-80.41388
C111679,170.0,34.64167,-80.41388
C111680,124.0,34.64167,-80.41388
C111681,3500.0,34.63027,-80.39694
C111682,4400.0,34.63027,-80.39694
C111683,1590.0,34.63027,-80.39694
C111684,538.0,34.63027,-80.39694
C111685,650.0,34.63027,-80.39694
C111686,121.0,34.63027,-80.39694
C111687,23.4,34.63027,-80.39694
C111688,12.6,34.63027,-80.39694
C111689,104.0,34.63027,-80.39694
C111690,1110.0,34.63027,-80.39694
C111691,9.95,34.63027,-80.39694
C111692,1800.0,34.63027,-80.39694
C111693,216.0,34.63027,-80.39694
C111694,280.0,34.63027,-80.39694
C111695,119.0,34.63027,-80.39694
C111696,92.8,34.63027,-80.39694
C111697,2.8,34.63027,-80.39694
C111698,5000.0,34.63027,-80.39694
C111699,3.8,34.63027,-80.39694
C111700,1.1,34.63027,-80.39694
C111701,350.0,34.63027,-80.39694
C111702,19.8,34.63027,-80.39694
C111703,358.0,34.63027,-80.39694
C111704,1330.0,34.63027,-80.39694
C111705,60.9,34.63027,-80.39694
C111706,53.4,34.63027,-80.39694
C111707,3.6,34.63027,-80.39694
C111708,26.6,34.63027,-80.39694
C111709,10.2,34.63027,-80.39694
C111710,6.12,34.63027,-80.39694
C111711,318.0,34.63027,-80.39694
C111712,318.0,34.63027,-80.39694
C111713,90.8,34.63027,-80.39694
C111714,753.0,34.63027,-80.39694
C111715,2100.0,34.63027,-80.39694
C111716,3580.0,34.63027,-80.39694
C111725,9.93,34.64167,-80.41388
C111726,215.0,34.64167,-80.41388
C111727,76.4,34.64167,-80.41388
C111728,554.0,34.64167,-80.41388
C111729,4.2,34.63027,-80.39694
C111730,0.83,34.63027,-80.39694
C111731,1.4,34.63027,-80.39694
C111732,285.0,34.63027,-80.39694
C111733,14.6,34.63027,-80.39694
C111734,827.0,34.63027,-80.39694
C111735,2.7,34.63027,-80.39694
C111736,0.2,34.63027,-80.39694
C111738,0.026,34.63027,-80.39694
C111739,1.2,34.63027,-80.39694
C111740,1.5,34.63027,-80.39694
C111741,16.1,34.63027,-80.39694
C111742,52.1,34.63027,-80.39694
C111743,2.3,34.63027,-80.39694
C111744,102.0,34.63027,-80.39694
C111745,472.0,34.63027,-80.39694
C111746,286.0,34.63027,-80.39694
C111747,14.0,34.63027,-80.39694
C111748,140.0,34.63027,-80.39694
C111749,1010.0,34.63027,-80.39694
C111750,2160.0,34.63027,-80.39694
C111751,9.52,34.63027,-80.39694
C111752,422.0,34.63027,-80.39694
C111753,285.0,34.63027,-80.39694
C111754,614.0,34.63027,-80.39694
C111755,38.5,34.63027,-80.39694
C111756,2.0,34.63027,-80.39694
C111757,95.6,34.63027,-80.39694
C111758,302.0,34.63027,-80.39694
C111759,221.0,34.63027,-80.39694
C111760,84.5,34.63027,-80.39694
C111761,24.0,34.63027,-80.39694
C111762,18.2,34.63027,-80.39694
C111763,21.0,34.63027,-80.39694
C111764,1.7,34.63027,-80.39694
C111765,2.5,34.64167,-80.41388
C111766,17.7,34.64167,-80.41388
C111767,1260.0,34.64167,-80.41388
C111768,11.0,34.64167,-80.41388
C111769,154.0,34.63027,-80.39694
C111770,52.8,34.63027,-80.39694
C111771,0.37,34.63027,-80.39694
C111772,2.4,34.63027,-80.39694
C111773,0.16,34.63027,-80.39694
C111774,2.3,34.63027,-80.39694
C111775,46.4,34.63027,-80.39694
C111776,9.19,34.63027,-80.39694
C111777,2980.0,34.63027,-80.39694
C111778,12900.0,34.63027,-80.39694
C111779,70.7,34.63027,-80.39694
C111780,14.4,34.63027,-80.39694
C111781,2.6,34.63027,-80.39694
C111782,260.0,34.63027,-80.39694
C111783,31.8,34.63027,-80.39694
C111784,29.2,34.63027,-80.39694
C111785,1.3,34.63027,-80.39694
C111786,113.0,34.63027,-80.39694
C111787,52.3,34.63027,-80.39694
C111788,3.5,34.63027,-80.39694
C111789,76.6,34.63027,-80.39694
C111790,3440.0,34.63027,-80.39694
C111791,45.2,34.63027,-80.39694
C111792,1730.0,34.63027,-80.39694
C111793,41.3,34.63027,-80.39694
C111794,33.4,34.63027,-80.39694
C111795,81.9,34.63027,-80.39694
C111796,66700.0,34.63027,-80.39694
C111797,111.0,34.63027,-80.39694
C111798,453.0,34.63027,-80.39694
C111799,94.2,34.63027,-80.39694
C111800,32.8,34.63027,-80.39694
C111801,9.81,34.63027,-80.39694
C111802,15.0,34.63027,-80.39694
C111803,9.31,34.63027,-80.39694
C111812,110.0,34.64167,-80.41388
C111813,52.6,34.64167,-80.41388
C111814,3.4,34.64167,-80.41388
C111815,0.39,34.64167,-80.41388
C111816,1.7,34.63027,-80.39694
C111817,10.1,34.63027,-80.39694
C111818,203000.0,34.63027,-80.39694
C111819,2.5,34.63027,-80.39694
C111820,0.46,34.63027,-80.39694
C111821,0.48,34.63027,-80.39694
C111822,1.4,34.63027,-80.39694
C111823,6.18,34.63027,-80.39694
C111824,43.6,34.63027,-80.39694
C111826,1.5,34.63027,-80.39694
C111827,0.75,34.63027,-80.39694
C111828,0.39,34.63027,-80.39694
C111829,0.91,34.63027,-80.39694
C111830,1.4,34.63027,-80.39694
C111831,1420.0,34.63027,-80.39694
C111832,128.0,34.63027,-80.39694
C111833,1560.0,34.63027,-80.39694
C111834,465.0,34.63027,-80.39694
C111835,927.0,34.63027,-80.39694
C111836,3.3,34.63027,-80.39694
C111837,140.0,34.63027,-80.39694
C111838,2.8,34.63027,-80.39694
C111840,743.0,34.63027,-80.39694
C111841,0.38,34.63027,-80.39694
C111842,1.2,34.63027,-80.39694
C111843,3.4,34.63027,-80.39694
C111844,5.2,34.63027,-80.39694
C111845,1.2,34.63027,-80.39694
C111846,0.45,34.63027,-80.39694
C111848,1.4,34.63027,-80.39694
C111849,0.79,34.63027,-80.39694
C111850,447.0,34.63027,-80.39694
C111851,459.0,34.63027,-80.39694
C111852,1.3,34.64167,-80.41388
C111853,999.0,34.64167,-80.41388
C111854,4.25,34.64167,-80.41388
C111855,1.4,34.64167,-80.41388
C111856,5.11,34.63027,-80.39694
C111857,6.23,34.63027,-80.39694
C111858,1.4,34.63027,-80.39694
C111859,0.14,34.63027,-80.39694
C111860,2.0,34.63027,-80.39694
C111861,0.45,34.63027,-80.39694
C111862,3.62,34.63027,-80.39694
C111863,21.5,34.63027,-80.39694
C111864,1.5,34.63027,-80.39694
C111865,25.8,34.63027,-80.39694
C111866,2.6,34.63027,-80.39694
C111867,1.1,34.63027,-80.39694
C111868,0.65,34.63027,-80.39694
C111869,1.2,34.63027,-80.39694
C111870,0.9,34.63027,-80.39694
C111871,41.1,34.63027,-80.39694
C111872,234.0,34.63027,-80.39694
C111873,2270.0,34.63027,-80.39694
C111874,79900.0,34.63027,-80.39694
C111875,0.064,34.63027,-80.39694
C111876,0.6,34.63027,-80.39694
C111878,1.3,34.63027,-80.39694
C111879,57.0,34.63027,-80.39694
C111880,0.54,34.63027,-80.39694
C111882,104.0,34.63027,-80.39694
C111883,59.9,34.63027,-80.39694
C111884,79.7,34.63027,-80.39694
C111885,2.9,34.63027,-80.39694
C111894,1.4,34.64167,-80.41388
C111895,3.7,34.64167,-80.41388
C111896,2.1,34.64167,-80.41388
C111897,1.4,34.64167,-80.41388
C111898,2.1,34.62749,-80.39694
C111899,2.3,34.63027,-80.39694
C111900,1.5,34.63027,-80.39694
C111901,1.6,34.79416,-80.39694
C111902,0.57,34.63027,-80.39694
C111903,1.9,34.63027,-80.39694
C111904,2.7,34.63027,-80.39694
C111905,3.3,34.63027,-80.39694
C111906,1.5,34.63027,-80.39694
C111907,1.5,34.63027,-80.39694
C111908,3.1,34.63027,-80.39694
C111909,1.1,34.63027,-80.39694
C111910,2.3,34.63027,-80.39694
C111911,1.7,34.63027,-80.39694
C111912,0.12,34.63027,-80.39694
C111913,0.13,34.63027,-80.39694
C111914,1.2,34.63027,-80.39694
C111915,1.6,34.63027,-80.39694
C111917,2.7,34.63027,-80.39694
C111919,0.69,34.63027,-80.39694
C111922,0.54,34.63027,-80.39694
C111923,3.47,34.63027,-80.39694
C111925,1.7,34.63027,-80.39694
C111926,0.018,34.63027,-80.39694
C111927,1.1,34.63027,-80.39694
C111928,0.83,34.63027,-80.39694
C111929,2.6,34.63027,-80.39694
C111930,0.68,34.63027,-80.39694
C111931,1.9,34.63027,-80.39694
C111932,1.6,34.63027,-80.39694
C111933,7.88,34.63027,-80.39694
C111934,4.48,35.63027,-80.39694
C111935,0.28,35.63027,-80.39694
C111936,0.73,35.63027,-80.39694
C111937,1.2,35.63027,-80.39694
C119005,2.4,46.2,-91.26111
C119006,1.5,46.2,-91.26111
C119008,5.09,46.38333,-90.83334
C119009,1.4,46.38333,-90.83361
C119010,2.89,46.38333,-90.83361
C119011,3.17,46.38889,-90.83334
C119012,3.36,46.38277,-90.85833
C119013,10.7,46.4,-90.85833
C119014,0.052,46.19583,-91.02778
C119015,3.7,46.19583,-91.02778
C119016,2.4,46.19583,-91.02778
C119017,392.0,45.25833,-90.60833
C119021,2.4,45.25833,-90.60833
C119022,1.8,45.25833,-90.60833
C119023,0.85,45.25833,-90.60833
C119025,7.96,45.25833,-90.60833
C119026,0.76,45.25833,-90.60833
C119027,0.77,45.25833,-90.60833
C119029,0.58,45.25833,-90.60833
C119030,0.021,45.25833,-90.60833
C119031,0.98,45.25833,-90.60833
C119032,0.48,45.25833,-90.60833
C119033,1.3,45.25833,-90.60833
C119034,0.27,45.25833,-90.60833
C119036,0.8,45.25833,-90.60833
C119038,0.22,45.25833,-90.60833
C119039,34.5,45.25833,-90.60833
C119239,1.8,46.29722,-90.81111
C119240,21.6,46.29722,-90.81111
C119241,20.9,46.29722,-90.81111
C119242,17.5,46.29722,-90.81111
C119243,18.2,46.29722,-90.81111
C119244,42.0,46.29722,-90.81111
C119245,10.5,46.29722,-90.81111
C119246,7.87,46.29722,-90.81111
C119247,6.55,46.29722,-90.81111
C119248,16.0,46.29722,-90.81111
C119249,0.38,46.29722,-90.81111
C119250,2.5,46.29722,-90.81111
C119251,0.99,46.29722,-90.81111
C119252,0.18,46.29722,-90.81111
C119253,6.44,46.29722,-90.81111
C119254,3.6,46.29722,-90.81111
C119255,3.1,46.29722,-90.81111
C119256,1.9,46.29722,-90.81111
C119257,6.39,46.29722,-90.81111
C119258,11.0,46.29722,-90.81111
C119259,15.6,46.29722,-90.81111
C119260,2.6,46.29722,-90.81111
C119261,16.9,46.29722,-90.81111
C119262,0.52,46.29722,-90.81111
C119263,2.5,46.29722,-90.81111
C119265,27.1,46.29722,-90.81111
C119266,9.54,46.29722,-90.81111
C119267,2.9,46.29722,-90.81111
